service_id,date,exception_type
2275,20190622,1
2275,20190601,1
2275,20190608,1
2275,20190615,1
2276,20191014,1
2279,20190602,1
2279,20190526,1
2279,20190609,1
2279,20190616,1
2281,20190610,1
2281,20190618,1
2281,20190617,1
2281,20190529,1
2281,20190603,1
2281,20190528,1
2281,20190612,1
2281,20190604,1
2281,20190605,1
2281,20190619,1
2281,20190611,1
2282,20190902,1
2284,20190621,1
2284,20190607,1
2284,20190530,1
2284,20190531,1
2284,20190606,1
2284,20190614,1
2284,20190620,1
2284,20190613,1
2286,20190704,1
2287,20191128,1
2288,20190527,1
2280,20190526,2
2278,20190527,2
2278,20190528,2
2278,20190529,2
2285,20190530,2
2277,20190531,2
2283,20190601,2
2280,20190602,2
2278,20190603,2
2278,20190604,2
2278,20190605,2
2285,20190606,2
2277,20190607,2
2283,20190608,2
2280,20190609,2
2278,20190610,2
2278,20190611,2
2278,20190612,2
2285,20190613,2
2277,20190614,2
2283,20190615,2
2280,20190616,2
2278,20190617,2
2278,20190618,2
2278,20190619,2
2285,20190620,2
2277,20190621,2
2283,20190622,2
2285,20190704,2
2278,20190902,2
2278,20191014,2
2285,20191128,2
