trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed,block_name
6594120,AT1,2275,"Van Dorn Metro",,0,184753812,shp-1-55,2,2,
6595120,AT1,2275,"Van Dorn Metro",,0,184753712,shp-1-55,2,2,
6596120,AT1,2275,"Van Dorn Metro",,0,184753812,shp-1-55,2,2,
6597120,AT1,2275,"Van Dorn Metro",,0,184753712,shp-1-55,2,2,
6598120,AT1,2275,"Van Dorn Metro",,0,184753812,shp-1-55,2,2,
6599120,AT1,2275,"Van Dorn Metro",,0,184753712,shp-1-55,2,2,
6600120,AT1,2275,"Van Dorn Metro",,0,184753612,shp-1-55,2,2,
6601120,AT1,2275,"Van Dorn Metro",,0,184753512,shp-1-55,2,2,
6602120,AT1,2275,"Van Dorn Metro",,0,184753912,shp-1-55,2,2,
6603120,AT1,2275,"Van Dorn Metro",,0,184753812,shp-1-55,2,2,
6604120,AT1,2275,"Van Dorn Metro",,0,184753712,shp-1-55,2,2,
6605120,AT1,2275,"Van Dorn Metro",,0,184753612,shp-1-55,2,2,
6606120,AT1,2275,"Van Dorn Metro",,0,184753512,shp-1-55,2,2,
6607120,AT1,2275,"Van Dorn Metro",,0,184753612,shp-1-55,2,2,
6608120,AT1,2275,"Van Dorn Metro",,0,184753512,shp-1-55,2,2,
6609120,AT1,2275,"Landmark Mall",,0,185492912,shp-1-56,2,2,
6610120,AT1,2275,"Landmark Mall",,0,185492812,shp-1-56,2,2,
6611120,AT1,2275,"Landmark Mall",,0,185492712,shp-1-56,2,2,
6612120,AT1,2275,"Landmark Mall",,0,185492912,shp-1-56,2,2,
6613120,AT1,2275,"Landmark Mall",,0,185492812,shp-1-56,2,2,
6614120,AT1,2275,"Landmark Mall",,0,185492712,shp-1-56,2,2,
6615120,AT1,2275,"Landmark Mall",,0,185492912,shp-1-56,2,2,
6616120,AT1,2275,"Landmark Mall",,0,185492812,shp-1-56,2,2,
6617120,AT1,2275,"Landmark Mall",,0,185492712,shp-1-56,2,2,
6618120,AT1,2275,"Landmark Mall",,0,185492912,shp-1-56,2,2,
6619120,AT1,2275,"Landmark Mall",,0,185492812,shp-1-56,2,2,
6620120,AT1,2275,"Landmark Mall",,0,185492712,shp-1-56,2,2,
7029120,AT1,2275,"Van Dorn Metro",,0,184753612,shp-1-55,2,2,
6566120,AT1,2275,"Seminary Plaza",,1,184753712,shp-1-03,2,2,
6567120,AT1,2275,"Seminary Plaza",,1,184753812,shp-1-03,2,2,
6568120,AT1,2275,"Seminary Plaza",,1,184753712,shp-1-03,2,2,
6569120,AT1,2275,"Seminary Plaza",,1,184753812,shp-1-03,2,2,
6570120,AT1,2275,"Seminary Plaza",,1,184753712,shp-1-03,2,2,
6571120,AT1,2275,"Seminary Plaza",,1,184753612,shp-1-03,2,2,
6572120,AT1,2275,"Seminary Plaza",,1,184753512,shp-1-03,2,2,
6573120,AT1,2275,"Seminary Plaza",,1,184753912,shp-1-03,2,2,
6574120,AT1,2275,"Seminary Plaza",,1,184753812,shp-1-03,2,2,
6575120,AT1,2275,"Seminary Plaza",,1,184753712,shp-1-03,2,2,
6576120,AT1,2275,"Seminary Plaza",,1,184753612,shp-1-03,2,2,
6577120,AT1,2275,"Seminary Plaza",,1,184753512,shp-1-03,2,2,
6578120,AT1,2275,"Seminary Plaza",,1,184753612,shp-1-03,2,2,
6579120,AT1,2275,"Seminary Plaza",,1,184753612,shp-1-03,2,2,
6580120,AT1,2275,"Seminary Plaza",,1,184753512,shp-1-03,2,2,
6581120,AT1,2275,"Seminary Plaza",,1,184753612,shp-1-03,2,2,
6582120,AT1,2275,"Seminary Plaza",,1,185492812,shp-1-04,2,2,
6583120,AT1,2275,"Seminary Plaza",,1,185492712,shp-1-04,2,2,
6584120,AT1,2275,"Seminary Plaza",,1,185492912,shp-1-04,2,2,
6585120,AT1,2275,"Seminary Plaza",,1,185492812,shp-1-04,2,2,
6586120,AT1,2275,"Seminary Plaza",,1,185492712,shp-1-04,2,2,
6587120,AT1,2275,"Seminary Plaza",,1,185492912,shp-1-04,2,2,
6588120,AT1,2275,"Seminary Plaza",,1,185492812,shp-1-04,2,2,
6589120,AT1,2275,"Seminary Plaza",,1,185492712,shp-1-04,2,2,
6590120,AT1,2275,"Seminary Plaza",,1,185492912,shp-1-04,2,2,
6591120,AT1,2275,"Seminary Plaza",,1,185492812,shp-1-04,2,2,
6592120,AT1,2275,"Seminary Plaza",,1,185492712,shp-1-04,2,2,
6593120,AT1,2275,"Seminary Plaza",,1,184753512,shp-1-03,2,2,
7020120,AT1,2275,"Seminary Plaza",,1,185492912,shp-1-04,2,2,
6671120,AT10,2275,"King St Metro",,0,184727112,shp-10-51,2,2,
6672120,AT10,2275,"King St Metro",,0,184727212,shp-10-51,2,2,
6673120,AT10,2275,"King St Metro",,0,184727112,shp-10-51,2,2,
