shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
8557,38.92475,-77.05227,0,
8557,38.92414,-77.0519,1,
8557,38.92353,-77.05152,2,
8557,38.92346,-77.05047,3,
8557,38.92338,-77.04943,4,
8557,38.92331,-77.04839,5,
8557,38.92324,-77.04734,6,
8557,38.92323,-77.04666,7,
8557,38.92322,-77.04598,8,
8557,38.92321,-77.04529,9,
8557,38.92321,-77.04397,10,
8557,38.92322,-77.04341,11,
8557,38.92316,-77.0431,12,
8557,38.92303,-77.04289,13,
8557,38.92268,-77.04269,14,
8557,38.92349,-77.04148,15,
8557,38.92416,-77.04047,16,
8557,38.92478,-77.03941,17,
8557,38.92526,-77.03855,18,
8557,38.92569,-77.03784,19,
8557,38.92611,-77.03712,20,
8557,38.92621,-77.03687,21,
8557,38.92695,-77.03756,22,
8557,38.92702,-77.03718,23,
8557,38.92713,-77.03673,24,
8557,38.92793,-77.03704,25,
8557,38.92864,-77.03731,26,
8557,38.92873,-77.03735,27,
8557,38.92872,-77.03722,28,
8557,38.92868,-77.03634,29,
8557,38.92863,-77.03533,30,
8557,38.92871,-77.03408,31,
8557,38.92875,-77.03317,32,
8557,38.92876,-77.03299,33,
8557,38.92877,-77.03283,34,
8557,38.92878,-77.03266,35,
8557,38.92814,-77.0326,36,
8557,38.92751,-77.03254,37,
8557,38.9268,-77.03247,38,
8557,38.92608,-77.0324,39,
8557,38.92536,-77.03233,40,
8557,38.92465,-77.03227,41,
8557,38.92381,-77.03218,42,
8557,38.92298,-77.0321,43,
8557,38.92214,-77.03201,44,
8557,38.92131,-77.03193,45,
8557,38.92054,-77.03187,46,
8557,38.91996,-77.03197,47,
8557,38.91871,-77.03198,48,
8557,38.91808,-77.03198,49,
8557,38.91775,-77.03198,50,
8557,38.91729,-77.03199,51,
8557,38.91721,-77.03199,52,
8557,38.91706,-77.032,53,
8557,38.91685,-77.032,54,
8557,38.91625,-77.03201,55,
8557,38.91509,-77.03201,56,
8557,38.91393,-77.03201,57,
8557,38.91277,-77.032,58,
8557,38.91161,-77.032,59,
8557,38.911,-77.03199,60,
8557,38.91039,-77.03199,61,
8557,38.91014,-77.03199,62,
8557,38.90989,-77.032,63,
8557,38.9096,-77.03199,64,
8557,38.9093,-77.03199,65,
8557,38.90814,-77.03198,66,
8557,38.90698,-77.03198,67,
8557,38.90655,-77.032,68,
8557,38.90628,-77.03199,69,
8557,38.90609,-77.032,70,
8557,38.90595,-77.03218,71,
8557,38.90584,-77.03233,72,
8557,38.90572,-77.03239,73,
8557,38.90558,-77.03238,74,
8557,38.90546,-77.03232,75,
8557,38.90534,-77.03226,76,
8557,38.90522,-77.03219,77,
8557,38.90514,-77.03213,78,
8557,38.90505,-77.03206,79,
8557,38.9049,-77.03201,80,
8557,38.9047,-77.03199,81,
8557,38.90443,-77.03199,82,
8557,38.90428,-77.03195,83,
8557,38.90373,-77.03197,84,
8557,38.90374,-77.03007,85,
8557,38.90374,-77.02963,86,
8557,38.90324,-77.02964,87,
8557,38.90275,-77.02964,88,
8557,38.90257,-77.02963,89,
8557,38.9024,-77.02962,90,
8557,38.90188,-77.02962,91,
8557,38.90136,-77.02961,92,
8557,38.90136,-77.02966,93,
8557,38.90136,-77.02966,94,
8557,38.90137,-77.03077,95,
8557,38.90138,-77.03189,96,
8556,38.90138,-77.03189,0,
8556,38.90194,-77.03188,1,
8556,38.90225,-77.03191,2,
8556,38.90261,-77.03193,3,
8556,38.90316,-77.03192,4,
8556,38.90362,-77.0319,5,
8556,38.90408,-77.0319,6,
8556,38.90459,-77.03189,7,
8556,38.9051,-77.03189,8,
8556,38.90528,-77.03184,9,
8556,38.90543,-77.03161,10,
8556,38.90559,-77.03151,11,
8556,38.90578,-77.03152,12,
8556,38.90631,-77.03186,13,
8556,38.90656,-77.03189,14,
8556,38.90699,-77.03193,15,
8556,38.90815,-77.03193,16,
8556,38.90899,-77.03193,17,
8556,38.90913,-77.03192,18,
8556,38.90934,-77.03193,19,
8556,38.91046,-77.03193,20,
8556,38.91162,-77.03193,21,
8556,38.91277,-77.03194,22,
8556,38.91393,-77.03194,23,
8556,38.91509,-77.03194,24,
8556,38.91625,-77.03194,25,
8556,38.91685,-77.03193,26,
8556,38.91737,-77.03193,27,
8556,38.91749,-77.03192,28,
8556,38.91765,-77.03192,29,
8556,38.91871,-77.03192,30,
8556,38.91995,-77.03192,31,
8556,38.92054,-77.0318,32,
8556,38.92131,-77.03185,33,
8556,38.92214,-77.03194,34,
8556,38.92298,-77.03203,35,
8556,38.92381,-77.03211,36,
8556,38.92464,-77.0322,37,
8556,38.92536,-77.03227,38,
8556,38.92608,-77.03234,39,
8556,38.92681,-77.03242,40,
8556,38.92753,-77.03249,41,
8556,38.9275,-77.03283,42,
8556,38.92749,-77.03311,43,
8556,38.92747,-77.03332,44,
8556,38.92742,-77.03425,45,
8556,38.92737,-77.03496,46,
8556,38.92697,-77.03571,47,
8556,38.92684,-77.03594,48,
8556,38.92676,-77.0361,49,
8556,38.92635,-77.0369,50,
8556,38.92582,-77.03776,51,
8556,38.92529,-77.03861,52,
8556,38.92482,-77.03945,53,
8556,38.92448,-77.04003,54,
8556,38.92356,-77.04147,55,
8556,38.92277,-77.04264,56,
8556,38.92298,-77.04276,57,
8556,38.92323,-77.04307,58,
8556,38.92328,-77.04341,59,
8556,38.92326,-77.0446,60,
8556,38.92327,-77.04529,61,
8556,38.92328,-77.04598,62,
8556,38.92329,-77.04667,63,
8556,38.9233,-77.04735,64,
8556,38.92337,-77.04837,65,
8556,38.92344,-77.04938,66,
8556,38.92351,-77.0504,67,
8556,38.92358,-77.05142,68,
8556,38.92354,-77.05202,69,
8556,38.92349,-77.05263,70,
8556,38.92405,-77.05259,71,
8556,38.92461,-77.05255,72,
8556,38.92475,-77.05227,73,
8549,38.90758,-77.04347,0,
8549,38.90725,-77.04347,1,
8549,38.90725,-77.0446,2,
8549,38.90724,-77.04572,3,
8549,38.90678,-77.04617,4,
8549,38.90631,-77.04662,5,
8549,38.9056,-77.04727,6,
8549,38.90535,-77.04752,7,
8549,38.90527,-77.04777,8,
8549,38.90526,-77.04893,9,
8549,38.90526,-77.05009,10,
8549,38.90526,-77.05128,11,
8549,38.90525,-77.05246,12,
8549,38.90526,-77.05365,13,
8549,38.90526,-77.05484,14,
8549,38.90527,-77.05525,15,
8549,38.90527,-77.05622,16,
8549,38.90526,-77.05803,17,
8549,38.90524,-77.05923,18,
8549,38.90522,-77.06044,19,
8549,38.9052,-77.0614,20,
8549,38.90518,-77.06287,21,
8549,38.90516,-77.06432,22,
8549,38.90513,-77.06564,23,
8549,38.9051,-77.06722,24,
8549,38.90506,-77.06867,25,
8549,38.90402,-77.06916,26,
8549,38.90298,-77.06966,27,
8549,38.90193,-77.07016,28,
8549,38.90089,-77.07066,29,
8549,38.90021,-77.07101,30,
8549,38.89995,-77.07137,31,
