stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
113355,1001219,K Street and 19th Street NW,,38.90244,-77.04368,,,,,,
123791,1000194,Stanton Road and Alabama Ave SE,,38.84724,-76.98036,,,,,,
113336,1003507,Wisconsin Avenue and M Street NW,,38.90495,-77.06269,,,,,,
113448,1003865,15th Street near Maine Avenue SW,,38.88570,-77.03385,,,,,,
123819,1003759,Martin Luther King Jr Ave and Good Hope Road SE,,38.86720,-76.98862,,,,,,
113329,1001241,K Street and Connecticut Avenue NW,,38.90261,-77.03922,,,,,,
113412,1003827,M Street and 24th Street NW,,38.90535,-77.05183,,,,,,
113332,1001202,Pennsylvania Avenue and 22nd Street NW,,38.90209,-77.04845,,,,,,
113452,1000855,Constitution Avenue and 21st Street NW,,38.89198,-77.04705,,,,,,
123799,1000305,Stanton Road and Washington View Apts,,38.85853,-76.99014,,,,,,
113367,1001209,14th Street and K Street NW,,38.90225,-77.03181,,,,,,
113341,1001637,Wisconsin Avenue and 34th Street NW,,38.91590,-77.06776,,,,,,
113325,1003660,New York Avenue and 9th Street NW,,38.90209,-77.02460,,,,,,
123812,1003032,M Street and Half Street SE,,38.87639,-77.00704,,,,,,
113342,1003816,35th Street and Wisconsin Avenue NW,,38.91762,-77.06953,,,,,,
113374,1001877,Connecticut Avenue and 24th Street NW,,38.92449,-77.05222,,,,,,
113331,1003811,21st Street and K Street NW,,38.90219,-77.04672,,,,,,
113433,1000640,8th Street and D Street SE,,38.88346,-76.99508,,,,,,
113366,1001191,I (Eye) Street and 14th Street NW,,38.90144,-77.03169,,,,,,
113413,1003828,M Street and 28th Street NW,,38.90532,-77.05642,,,,,,
113383,1000505,M Street and New Jersey Avenue SE,,38.87637,-77.00379,,,,,,
123802,1000423,Martin Luther King Jr Ave and U Street SE,,38.86703,-76.98894,,,,,,
113404,1001318,M Street and Potomac Street NW,,38.90503,-77.06547,,,,,,
113454,1003846,15th Street and Madison Drive NW,,38.89033,-77.03333,,,,,,
113377,1001993,Mount Pleasant Street and Irving Street NW,,38.92859,-77.03718,,,,,,
