route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
11321,491,179121,Rosslyn,,1,605,8549,1,1
11318,491,177066,Union Station,,0,108,8551,1,1
11320,491,177142,Eastern Market,,0,501,8823,1,1
11323,536,183539,National Mall,,0,809,7685,1,1
11323,535,183323,National Mall,,0,802,7685,1,1
11318,534,182685,Union Station,,0,110,8551,1,1
11320,537,186940,L'Enfant Plaza,,1,513,8822,1,1
11318,490,179329,Georgetown,,1,101,8550,1,1
11318,534,185365,Union Station,,0,107,8551,1,1
11319,490,178062,Woodley Park,,1,205,8556,1,1
11319,491,177726,McPherson Square Metro,,0,202,8557,1,1
11319,537,186661,McPherson Square Metro,,0,202,8557,1,1
11318,534,182728,Union Station,,0,116,8551,1,1
11319,493,178869,McPherson Square Metro,,0,210,8557,1,1
11319,537,182594,McPherson Square Metro,,0,205,8557,1,1
11320,537,182973,Eastern Market,,0,502,8823,1,1
11318,534,183950,Union Station,,0,119,8551,1,1
11323,537,183138,National Mall,,0,801,7685,1,1
11323,493,178810,National Mall,,0,803,7685,1,1
11322,536,183402,Union Station,,0,705,8818,1,1
11322,491,179420,Congress Heights,,1,208,8819,1,1
11320,534,186345,Eastern Market,,0,504,8823,1,1
11319,537,184841,Woodley Park,,1,210,8556,1,1
11321,536,185148,Rosslyn,,1,605,8549,1,1
11318,534,185181,Union Station,,0,111,8551,1,1
11318,490,176402,Georgetown,,1,710,8550,1,1
11323,537,183533,National Mall,,0,801,7685,1,1
11320,537,186804,Eastern Market,,0,507,8823,1,1
11322,536,182666,Union Station,,0,704,8818,1,1
11320,534,186697,L'Enfant Plaza,,1,505,8822,1,1
11318,492,177209,Union Station,,0,111,8551,1,1
11319,491,177325,Woodley Park,,1,213,8556,1,1
11318,490,176709,Union Station,,0,110,8551,1,1
11318,492,178718,Union Station,,0,101,8551,1,1
11318,537,182783,Georgetown,,1,107,8550,1,1
11318,493,178716,Union Station,,0,104,8551,1,1
11320,534,184487,Eastern Market,,0,505,8823,1,1
11319,492,179159,McPherson Square Metro,,0,201,8557,1,1
11318,491,177029,Georgetown,,1,114,8550,1,1
11319,493,178824,McPherson Square Metro,,0,207,8557,1,1
11318,492,176939,Georgetown,,1,105,8550,1,1
11319,534,183271,McPherson Square Metro,,0,202,8557,1,1
11321,534,185068,Rosslyn,,1,603,8549,1,1
11319,536,183073,Woodley Park,,1,207,8556,1,1
11322,535,185819,Union Station,,0,711,8818,1,1
11319,490,179061,Woodley Park,,1,201,8556,1,1
11318,536,184787,Georgetown,,1,104,8550,1,1
11320,535,184946,L'Enfant Plaza,,1,504,8822,1,1
11321,492,179318,Rosslyn,,1,603,8549,1,1
11318,493,179782,Georgetown,,1,102,8550,1,1
11320,534,182786,L'Enfant Plaza,,1,505,8822,1,1
11321,534,184475,Dupont Circle,,0,602,8548,1,1
11321,491,177982,Rosslyn,,1,603,8549,1,1
11321,537,184064,Dupont Circle,,0,606,8548,1,1
11321,493,177987,Rosslyn,,1,602,8549,1,1
11321,493,176281,Rosslyn,,1,605,8549,1,1
11322,493,176410,Union Station,,0,709,8818,1,1
11321,490,179054,Dupont Circle,,0,608,8548,1,1
11323,534,185984,National Mall,,0,801,7685,1,1
11319,493,179914,Woodley Park,,1,204,8556,1,1
11323,493,177156,National Mall,,0,801,7685,1,1
11318,535,182648,Union Station,,0,102,8551,1,1
11320,534,186553,L'Enfant Plaza,,1,505,8822,1,1
11318,536,185156,Union Station,,0,110,8551,1,1
11319,490,176687,McPherson Square Metro,,0,205,8557,1,1
11319,492,176706,Woodley Park,,1,205,8556,1,1
11323,535,186428,National Mall,,0,803,7685,1,1
11321,534,182512,Dupont Circle,,0,603,8548,1,1
11321,493,178412,Rosslyn,,1,602,8549,1,1
11322,534,186910,Congress Heights,,1,712,8819,1,1
11322,492,177068,Union Station,,0,708,8818,1,1
11321,536,183698,Dupont Circle,,0,605,8548,1,1
11321,537,186101,Dupont Circle,,0,604,8548,1,1
11320,535,185877,L'Enfant Plaza,,1,506,8822,1,1
11321,537,186904,Rosslyn,,1,602,8549,1,1
11321,534,184016,Rosslyn,,1,603,8549,1,1
11318,537,183164,Union Station,,0,102,8551,1,1
11320,493,178343,L'Enfant Plaza,,1,503,8822,1,1
11318,537,185866,Union Station,,0,106,8551,1,1
11321,492,175659,Dupont Circle,,0,603,8548,1,1
11319,491,179683,Woodley Park,,1,206,8556,1,1
11319,536,184418,Woodley Park,,1,212,8556,1,1
11321,536,184175,Rosslyn,,1,603,8549,1,1
11319,492,177511,McPherson Square Metro,,0,201,8557,1,1
11321,537,185280,Rosslyn,,1,604,8549,1,1
11321,537,186616,Dupont Circle,,0,604,8548,1,1
11321,534,185675,Dupont Circle,,0,604,8548,1,1
11321,492,178993,Dupont Circle,,0,605,8548,1,1
11319,536,186655,Woodley Park,,1,211,8556,1,1
11319,536,183326,McPherson Square Metro,,0,210,8557,1,1
11320,536,183821,L'Enfant Plaza,,1,506,8822,1,1
11319,491,177838,McPherson Square Metro,,0,202,8557,1,1
11319,493,176051,McPherson Square Metro,,0,207,8557,1,1
11318,535,185870,Georgetown,,1,111,8550,1,1
11319,534,186558,McPherson Square Metro,,0,213,8557,1,1
11318,534,186935,Georgetown,,1,112,8550,1,1
11320,536,186187,Eastern Market,,0,504,8823,1,1
11321,490,177901,Dupont Circle,,0,605,8548,1,1
11321,491,177948,Dupont Circle,,0,605,8548,1,1
11320,536,183694,L'Enfant Plaza,,1,501,8822,1,1
11319,536,183765,Woodley Park,,1,202,8556,1,1
11322,493,178643,Union Station,,0,708,8818,1,1
11318,535,185778,Union Station,,0,104,8551,1,1
11319,534,186217,McPherson Square Metro,,0,211,8557,1,1
11318,491,179566,Union Station,,0,115,8551,1,1
11318,535,186503,Union Station,,0,123,8551,1,1
11320,491,178629,Eastern Market,,0,501,8823,1,1
11320,535,183383,Eastern Market,,0,508,8823,1,1
11320,534,183116,Eastern Market,,0,504,8823,1,1
11318,491,176398,Georgetown,,1,104,8550,1,1
11322,537,183803,Union Station,,0,709,8818,1,1
11322,536,185793,Congress Heights,,1,712,8819,1,1
11323,537,186361,National Mall,,0,808,7685,1,1
11319,537,183847,McPherson Square Metro,,0,208,8557,1,1
11323,536,183987,National Mall,,0,808,7685,1,1
11319,490,177065,McPherson Square Metro,,0,102,8557,1,1
11318,493,177212,Georgetown,,1,106,8550,1,1
11321,491,178140,Dupont Circle,,0,604,8548,1,1
11320,491,178089,L'Enfant Plaza,,1,506,8822,1,1
11319,537,184453,McPherson Square Metro,,0,210,8557,1,1
11319,534,185705,Woodley Park,,1,202,8556,1,1
11318,534,185432,Union Station,,0,104,8551,1,1
11321,534,185602,Rosslyn,,1,605,8549,1,1
11323,537,185130,National Mall,,0,807,7685,1,1
11320,491,177231,L'Enfant Plaza,,1,507,8822,1,1
11319,537,183596,McPherson Square Metro,,0,208,8557,1,1
11320,490,176818,L'Enfant Plaza,,1,808,8822,1,1
11319,491,176648,Woodley Park,,1,206,8556,1,1
11318,491,175894,Union Station,,0,109,8551,1,1
11318,537,183994,Georgetown,,1,101,8550,1,1
