runs_id,service_id,block_id,run_number,piece_number,start_trip_id,start_stop_id,end_trip_id,end_stop_id
100001,c_16337_b_18402_d_16,100388,1,1,t_541220_b_18402_tn_1,2506390,t_541220_b_18402_tn_3,2506397
100002,c_16337_b_18402_d_16,100389,2,1,t_541215_b_18402_tn_1,2506397,t_541215_b_18402_tn_3,2506390
100003,c_16337_b_18402_d_16,100390,3,1,t_541214_b_18402_tn_1,2506397,t_541214_b_18402_tn_3,2506390
100004,c_16337_b_18402_d_16,100391,4,1,t_541517_b_18402_tn_0,2506390,t_541519_b_18402_tn_2,2506390
100005,c_16337_b_18402_d_31,100388,5,1,t_541174_b_18402_tn_1,2506390,t_545677_b_18402_tn_0,2506390
100006,c_16337_b_18402_d_31,100389,6,1,t_541182_b_18402_tn_1,2506390,t_541182_b_18402_tn_23,2506397
100007,c_16337_b_18402_d_31,100390,7,1,t_541190_b_18402_tn_1,2506397,t_545679_b_18402_tn_0,2506397
100008,c_16337_b_18402_d_31,100391,8,1,t_541198_b_18402_tn_1,2506397,t_541198_b_18402_tn_23,2506390
100009,c_16337_b_18402_d_32,100388,9,1,t_542710_b_18402_tn_1,2506390,t_542716_b_18402_tn_3,2506390
100010,c_16337_b_18402_d_32,100389,10,1,t_542707_b_18402_tn_1,2506390,t_542711_b_18402_tn_3,2506397
100011,c_16337_b_18402_d_32,100390,11,1,t_542720_b_18402_tn_1,2506397,t_542712_b_18402_tn_3,2506397
100012,c_16337_b_18402_d_32,100391,12,1,t_542706_b_18402_tn_1,2506390,t_554181_b_18402_tn_3,2506390
100013,c_16337_b_18402_d_96,100388,13,1,t_541380_b_18402_tn_1,2506390,t_541381_b_18402_tn_18,2506390
100014,c_16337_b_18402_d_96,100389,14,1,t_541197_b_18402_tn_1,2506390,t_541197_b_18402_tn_18,2506397
100015,c_16337_b_18402_d_96,100390,15,1,t_541384_b_18402_tn_1,2506397,t_541385_b_18402_tn_18,2506397
100016,c_16337_b_18402_d_96,100391,16,1,t_541382_b_18402_tn_1,2506397,t_541382_b_18402_tn_18,2506390
100017,c_16337_b_none_d_32,100388,17,1,t_542710_b_none_tn_1,2506390,t_542716_b_none_tn_3,2506390
100018,c_16337_b_none_d_32,100389,18,1,t_542707_b_none_tn_1,2506390,t_542711_b_none_tn_3,2506397
100019,c_16337_b_none_d_32,100390,19,1,t_542720_b_none_tn_1,2506397,t_542712_b_none_tn_3,2506397
100020,c_16337_b_none_d_32,100391,20,1,t_542706_b_none_tn_1,2506390,t_554181_b_none_tn_3,2506390
100021,c_16337_b_none_d_96,100388,21,1,t_541380_b_none_tn_1,2506390,t_541381_b_none_tn_18,2506390
100022,c_16337_b_none_d_96,100389,22,1,t_541197_b_none_tn_1,2506390,t_541197_b_none_tn_18,2506397
100023,c_16337_b_none_d_96,100390,23,1,t_541384_b_none_tn_1,2506397,t_541385_b_none_tn_18,2506397
100024,c_16337_b_none_d_96,100391,24,1,t_541382_b_none_tn_1,2506397,t_541382_b_none_tn_18,2506390
