trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint,start_service_area_id,end_service_area_id,start_service_area_radius,end_service_area_radius,continuous_pickup,continuous_drop_off,pickup_area_id,drop_off_area_id,pickup_service_area_radius,drop_off_service_area_radius
t_541173_b_18402_tn_1,06:25:00,06:25:00,2506397,1,,0,0,0,1,,,,,1,1,,,,
t_541173_b_18402_tn_1,,,2506396,2,,0,0,279.928262414733,0,,,,,1,1,,,,
t_541173_b_18402_tn_1,,,2506395,3,,0,0,420.7899799224,0,,,,,1,1,,,,
t_541173_b_18402_tn_1,06:31:00,06:31:00,2506392,4,,0,0,813.485187187039,0,,,,,1,1,,,,
t_541173_b_18402_tn_1,,,2506387,5,,0,0,1392.13918347522,0,,,,,1,1,,,,
t_541173_b_18402_tn_1,06:39:00,06:39:00,2506400,6,,0,0,1882.22968217048,0,,,,,1,1,,,,
t_541173_b_18402_tn_1,,,2506398,7,,0,0,2501.91399835375,0,,,,,1,1,,,,
t_541173_b_18402_tn_1,06:44:00,06:44:00,2506399,8,,0,0,3046.73929467608,0,,,,,1,1,,,,
t_541173_b_18402_tn_1,,,2506401,9,,1,1,3322.78252959806,0,,,,,1,1,,,,
t_541173_b_18402_tn_1,,,2506402,10,,1,1,3385.37299196822,0,,,,,1,1,,,,
t_541173_b_18402_tn_1,06:49:00,06:49:00,2506390,11,,0,0,3659.14433796,1,,,,,1,1,,,,
t_541173_b_18402_tn_10,13:37:00,13:37:00,2506397,1,,0,0,0,1,,,,,1,1,,,,
t_541173_b_18402_tn_10,,,2506396,2,,0,0,279.928262414733,0,,,,,1,1,,,,
t_541173_b_18402_tn_10,,,2506395,3,,0,0,420.7899799224,0,,,,,1,1,,,,
t_541173_b_18402_tn_10,13:43:00,13:43:00,2506392,4,,0,0,813.485187187039,0,,,,,1,1,,,,
t_541173_b_18402_tn_10,,,2506387,5,,0,0,1392.13918347522,0,,,,,1,1,,,,
t_541173_b_18402_tn_10,13:51:00,13:51:00,2506400,6,,0,0,1882.22968217048,0,,,,,1,1,,,,
t_541173_b_18402_tn_10,,,2506398,7,,0,0,2501.91399835375,0,,,,,1,1,,,,
t_541173_b_18402_tn_10,13:56:00,13:56:00,2506399,8,,0,0,3046.73929467608,0,,,,,1,1,,,,
t_541173_b_18402_tn_10,,,2506401,9,,1,1,3322.78252959806,0,,,,,1,1,,,,
t_541173_b_18402_tn_10,,,2506402,10,,1,1,3385.37299196822,0,,,,,1,1,,,,
t_541173_b_18402_tn_10,14:01:00,14:01:00,2506390,11,,0,0,3659.14433796,1,,,,,1,1,,,,
