trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed,block_name
644471010,101,1,"101 Mt Vernon",,0,201,shp-101-51,1,1,1012
644472010,101,1,"101 Mt Vernon",,0,101,shp-101-51,1,1,1011
644473010,101,1,"101 Mt Vernon",,0,201,shp-101-51,1,1,1012
644474010,101,1,"101 Mt Vernon",,0,101,shp-101-51,1,1,1011
644475010,101,1,"101 Mt Vernon",,0,201,shp-101-51,1,1,1012
644476010,101,1,"101 Mt Vernon",,0,101,shp-101-51,1,1,1011
644477010,101,1,"101 Mt Vernon",,0,201,shp-101-51,1,1,1012
644478010,101,1,"101 Mt Vernon",,0,101,shp-101-51,1,1,1011
644479010,101,1,"101 Mt Vernon",,0,201,shp-101-51,1,1,1012
644480010,101,1,"101 Mt Vernon",,0,101,shp-101-51,1,1,1011
644481010,101,1,"101 Mt Vernon",,0,201,shp-101-51,1,1,1012
644482010,101,1,"101 Mt Vernon",,0,101,shp-101-51,1,1,1011
644483010,101,1,"101 Mt Vernon",,0,201,shp-101-51,1,1,1012
644484010,101,1,"101 Mt Vernon",,0,101,shp-101-51,1,1,1011
644457010,101,1,"101 Huntington - Metro North",,1,101,shp-101-01,1,1,1011
644458010,101,1,"101 Huntington - Metro North",,1,201,shp-101-01,1,1,1012
644459010,101,1,"101 Huntington - Metro North",,1,101,shp-101-01,1,1,1011
644460010,101,1,"101 Huntington - Metro North",,1,201,shp-101-01,1,1,1012
644461010,101,1,"101 Huntington - Metro North",,1,101,shp-101-01,1,1,1011
644462010,101,1,"101 Huntington - Metro North",,1,201,shp-101-01,1,1,1012
644463010,101,1,"101 Huntington - Metro North",,1,101,shp-101-01,1,1,1011
644464010,101,1,"101 Huntington - Metro North",,1,201,shp-101-01,1,1,1012
644465010,101,1,"101 Huntington - Metro North",,1,101,shp-101-01,1,1,1011
644466010,101,1,"101 Huntington - Metro North",,1,201,shp-101-01,1,1,1012
644467010,101,1,"101 Huntington - Metro North",,1,101,shp-101-01,1,1,1011
644468010,101,1,"101 Huntington - Metro North",,1,201,shp-101-01,1,1,1012
644469010,101,1,"101 Huntington - Metro North",,1,101,shp-101-01,1,1,1011
644470010,101,1,"101 Huntington - Metro North",,1,201,shp-101-01,1,1,1012
644595010,109,1,"109 Van Dorn - Crown Royal",,0,101,shp-109-51,1,1,1011
644596010,109,1,"109 Van Dorn - Crown Royal",,0,201,shp-109-51,1,1,1012
644597010,109,1,"109 Van Dorn - Crown Royal",,0,101,shp-109-51,1,1,1011
644598010,109,1,"109 Van Dorn - Crown Royal",,0,201,shp-109-51,1,1,1012
644599010,109,1,"109 Van Dorn - Crown Royal",,0,101,shp-109-51,1,1,1011
644600010,109,1,"109 Van Dorn - Crown Royal",,0,201,shp-109-51,1,1,1012
644601010,109,1,"109 Van Dorn - Crown Royal",,0,101,shp-109-51,1,1,1011
644602010,109,1,"109 Van Dorn - Crown Royal",,0,201,shp-109-51,1,1,1012
644603010,109,1,"109 Van Dorn - Crown Royal",,0,101,shp-109-51,1,1,1011
644604010,109,1,"109 Van Dorn - Crown Royal",,0,201,shp-109-51,1,1,1012
644605010,109,1,"109 Van Dorn - Crown Royal",,0,101,shp-109-51,1,1,1011
644606010,109,1,"109 Van Dorn - Crown Royal",,0,201,shp-109-51,1,1,1012
644607010,109,1,"109 Van Dorn - Crown Royal",,0,101,shp-109-51,1,1,1011
644581010,109,1,"109 Crown Royal Huntington",,1,201,shp-109-01,1,1,1012
644582010,109,1,"109 Crown Royal Huntington",,1,101,shp-109-01,1,1,1011
644583010,109,1,"109 Crown Royal Huntington",,1,201,shp-109-01,1,1,1012
644584010,109,1,"109 Crown Royal Huntington",,1,101,shp-109-01,1,1,1011
644585010,109,1,"109 Crown Royal Huntington",,1,201,shp-109-01,1,1,1012
644586010,109,1,"109 Crown Royal Huntington",,1,101,shp-109-01,1,1,1011
644587010,109,1,"109 Crown Royal Huntington",,1,201,shp-109-01,1,1,1012
644588010,109,1,"109 Crown Royal Huntington",,1,101,shp-109-01,1,1,1011
644589010,109,1,"109 Crown Royal Huntington",,1,201,shp-109-01,1,1,1012
644590010,109,1,"109 Crown Royal Huntington",,1,101,shp-109-01,1,1,1011
644591010,109,1,"109 Crown Royal Huntington",,1,201,shp-109-01,1,1,1012
644592010,109,1,"109 Crown Royal Huntington",,1,101,shp-109-01,1,1,1011
644593010,109,1,"109 Crown Royal Huntington",,1,201,shp-109-01,1,1,1012
644594010,109,1,"109 Crown Royal Huntington",,1,101,shp-109-01,1,1,1011
635984010,151,1,"151 Woodlawn via Sacramento",,0,1401,shp-151-51,1,1,1511
635985010,151,1,"151 Woodlawn via Sacramento",,0,1501,shp-151-51,1,1,1512
635986010,151,1,"151 Woodlawn via Sacramento",,0,1401,shp-151-51,1,1,1511
635987010,151,1,"151 Woodlawn via Sacramento",,0,1501,shp-151-51,1,1,1512
635988010,151,1,"151 Woodlawn via Sacramento",,0,2301,shp-151-51,1,1,1521
635989010,151,1,"151 Woodlawn via Sacramento",,0,1401,shp-151-51,1,1,1511
635990010,151,1,"151 Woodlawn via Sacramento",,0,2401,shp-151-51,1,1,1522
635991010,151,1,"151 Woodlawn via Sacramento",,0,1501,shp-151-51,1,1,1512
