trip_id,arrival_time,departure_time,stop_id,stop_sequence,timepoint
2817593,06:00:00,06:00:00,169,0,1
2817593,,,167,1,1
2817593,,,171,2,1
2817593,,,507,3,1
2817593,,,181,4,1
2817593,,,182,5,1
2817593,,,153,6,1
2817593,06:15:00,06:15:00,508,7,1
2817593,,,981,8,1
2817593,,,509,9,1
2817593,,,510,10,1
2817593,06:21:00,06:21:00,937,11,1
2817593,,,925,12,1
2817593,,,732,13,1
2817593,06:31:00,06:31:00,932,14,1
2817593,,,832,15,1
2817593,,,816,16,1
2817593,,,988,17,1
2817593,,,829,18,1
2817593,06:39:00,06:39:00,574,19,1
2817593,06:48:00,06:48:00,320,20,1
2817593,,,779,21,1
2817593,,,883,22,1
2817593,07:01:00,07:01:00,880,23,1
2817593,,,997,24,1
2817593,,,794,25,1
2817593,07:18:00,07:18:00,794,26,1
2817594,09:00:00,09:00:00,169,0,1
2817594,,,167,1,1
2817594,,,171,2,1
2817594,,,507,3,1
2817594,,,181,4,1
2817594,,,182,5,1
2817594,,,153,6,1
2817594,09:15:00,09:15:00,508,7,1
2817594,,,981,8,1
2817594,,,509,9,1
2817594,,,510,10,1
2817594,09:21:00,09:21:00,937,11,1
2817594,,,925,12,1
2817594,,,732,13,1
2817594,09:31:00,09:31:00,932,14,1
2817594,,,832,15,1
2817594,,,816,16,1
2817594,,,988,17,1
2817594,,,829,18,1
2817594,09:39:00,09:39:00,574,19,1
2817594,09:48:00,09:48:00,320,20,1
2817594,,,779,21,1
2817594,,,883,22,1
2817594,10:01:00,10:01:00,880,23,1
2817594,,,997,24,1
2817594,,,794,25,1
2817594,10:12:00,10:12:00,794,26,1
2817600,12:00:00,12:00:00,169,0,1
2817600,,,167,1,1
2817600,,,171,2,1
2817600,,,507,3,1
2817600,,,181,4,1
2817600,,,182,5,1
2817600,,,153,6,1
2817600,12:15:00,12:15:00,508,7,1
2817600,,,981,8,1
2817600,,,509,9,1
2817600,,,510,10,1
2817600,12:21:00,12:21:00,937,11,1
2817600,,,925,12,1
2817600,,,732,13,1
2817600,12:31:00,12:31:00,932,14,1
2817600,,,832,15,1
2817600,,,816,16,1
2817600,,,988,17,1
2817600,,,829,18,1
2817600,12:39:00,12:39:00,574,19,1
2817600,12:48:00,12:48:00,320,20,1
2817600,,,779,21,1
2817600,,,883,22,1
2817600,13:01:00,13:01:00,880,23,1
2817600,,,997,24,1
2817600,,,794,25,1
2817600,13:12:00,13:12:00,794,26,1
2817601,15:00:00,15:00:00,169,0,1
2817601,,,167,1,1
2817601,,,171,2,1
2817601,,,507,3,1
2817601,,,181,4,1
2817601,,,182,5,1
2817601,,,153,6,1
2817601,15:15:00,15:15:00,508,7,1
2817601,,,981,8,1
2817601,,,509,9,1
2817601,,,510,10,1
2817601,15:21:00,15:21:00,937,11,1
2817601,,,925,12,1
2817601,,,732,13,1
2817601,15:31:00,15:31:00,932,14,1
2817601,,,832,15,1
2817601,,,816,16,1
2817601,,,988,17,1
2817601,,,829,18,1
2817601,15:39:00,15:39:00,574,19,1
2817601,15:48:00,15:48:00,320,20,1
2817601,,,779,21,1
2817601,,,883,22,1
2817601,16:01:00,16:01:00,880,23,1
2817601,,,997,24,1
2817601,,,794,25,1
2817601,16:12:00,16:12:00,794,26,1
2817602,18:00:00,18:00:00,169,0,1
2817602,,,167,1,1
2817602,,,171,2,1
2817602,,,507,3,1
2817602,,,181,4,1
2817602,,,182,5,1
2817602,,,153,6,1
2817602,18:15:00,18:15:00,508,7,1
2817602,,,981,8,1
2817602,,,509,9,1
2817602,,,510,10,1
2817602,18:21:00,18:21:00,937,11,1
2817602,,,925,12,1
2817602,,,732,13,1
2817602,18:31:00,18:31:00,932,14,1
2817602,,,832,15,1
2817602,,,816,16,1
2817602,,,988,17,1
2817602,,,829,18,1
2817602,18:39:00,18:39:00,574,19,1
2817602,18:48:00,18:48:00,320,20,1
2817602,,,779,21,1
2817602,,,883,22,1
2817602,19:01:00,19:01:00,880,23,1
2817602,,,997,24,1
2817602,,,794,25,1
2817602,19:12:00,19:12:00,794,26,1
2817604,07:30:00,07:30:00,169,0,1
2817604,,,167,1,1
2817604,,,171,2,1
2817604,,,507,3,1
2817604,,,181,4,1
2817604,,,182,5,1
2817604,,,153,6,1
2817604,07:45:00,07:45:00,508,7,1
2817604,,,981,8,1
2817604,,,509,9,1
2817604,,,510,10,1
2817604,07:51:00,07:51:00,937,11,1
2817604,,,925,12,1
2817604,,,732,13,1
2817604,08:01:00,08:01:00,932,14,1
2817604,,,832,15,1
2817604,,,816,16,1
2817604,,,988,17,1
