trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
2817593,27769,58374,BWI Airport,501-1,0,501-1,90152,,
2817594,27769,58374,BWI Airport,501-1,0,501-1,90152,,
2817600,27769,58374,BWI Airport,501-1,0,501-1,90152,,
2817601,27769,58374,BWI Airport,501-1,0,501-1,90152,,
2817602,27769,58374,BWI Airport,501-1,0,501-1,90152,,
2817604,27769,58374,BWI Airport,501-2,0,501-2,90152,,
2817605,27769,58374,BWI Airport,501-2,0,501-2,90152,,
2817606,27769,58374,BWI Airport,501-2,0,501-2,90152,,
2817607,27769,58374,BWI Airport,501-2,0,501-2,90152,,
2817608,27769,58374,BWI Airport,501-2,0,501-2,90152,,
2817609,27769,58374,BWI Airport,501-1,0,501-1,90153,,
2817610,27769,58374,BWI Airport,501-2,0,501-2,90153,,
2817624,27769,58375,BWI Airport,501-1,0,501-1,90154,,
2817625,27769,58375,BWI Airport,501-1,0,501-1,90154,,
2817626,27769,58375,BWI Airport,501-1,0,501-1,90154,,
2817627,27769,58375,BWI Airport,501-1,0,501-1,90154,,
2817628,27769,58375,BWI Airport,501-1,0,501-1,90154,,
2817629,27769,58375,BWI Airport,501-1,0,501-1,90154,,
2817630,27769,58375,BWI Airport,501-1,0,501-1,90154,,
2817631,27769,58375,BWI Airport,501-1,0,501-1,90154,,
2817632,27769,58375,BWI Airport,501-2,0,501-2,90154,,
2817633,27769,58375,BWI Airport,501-2,0,501-2,90154,,
2817634,27769,58375,BWI Airport,501-2,0,501-2,90154,,
2817635,27769,58375,BWI Airport,501-2,0,501-2,90154,,
2817636,27769,58375,BWI Airport,501-2,0,501-2,90154,,
2817637,27769,58376,BWI Airport,501-1,0,501-1,90154,,
2817638,27769,58376,BWI Airport,501-1,0,501-1,90154,,
2817639,27769,58376,BWI Airport,501-1,0,501-1,90154,,
2817640,27769,58376,BWI Airport,501-1,0,501-1,90154,,
2817641,27769,58376,BWI Airport,501-1,0,501-1,90154,,
2817612,27769,58374,Columbia Mall,501-1,1,501-1,90156,,
2817613,27769,58374,Columbia Mall,501-1,1,501-1,90156,,
2817614,27769,58374,Columbia Mall,501-1,1,501-1,90156,,
2817615,27769,58374,Columbia Mall,501-2,1,501-2,90156,,
2817616,27769,58374,Columbia Mall,501-2,1,501-2,90156,,
2817617,27769,58374,Columbia Mall,501-2,1,501-2,90156,,
2817618,27769,58374,Columbia Mall,501-1,1,501-1,90157,,
2817619,27769,58374,Columbia Mall,501-2,1,501-2,90157,,
2817620,27769,58374,Columbia Mall,501-1,1,501-1,90158,,
2817621,27769,58374,Columbia Mall,501-2,1,501-2,90159,,
2817622,27769,58374,Columbia Mall,501-1,1,501-1,90160,,
2817623,27769,58374,BWI Business District Light Rail,501-2,1,501-2,90161,,
2817642,27769,58375,Columbia Mall,501-1,1,501-1,90162,,
2817643,27769,58375,Columbia Mall,501-1,1,501-1,90162,,
2817644,27769,58375,Columbia Mall,501-1,1,501-1,90162,,
2817645,27769,58375,Columbia Mall,501-1,1,501-1,90162,,
2817646,27769,58375,Columbia Mall,501-1,1,501-1,90162,,
2817647,27769,58375,Columbia Mall,501-1,1,501-1,90162,,
2817648,27769,58375,Columbia Mall,501-1,1,501-1,90162,,
2817649,27769,58375,Columbia Mall,501-1,1,501-1,90162,,
2817650,27769,58375,Columbia Mall,501-2,1,501-2,90162,,
2817651,27769,58375,Columbia Mall,501-2,1,501-2,90162,,
2817652,27769,58375,Columbia Mall,501-2,1,501-2,90162,,
2817653,27769,58375,Columbia Mall,501-2,1,501-2,90162,,
2817654,27769,58375,Columbia Mall,501-2,1,501-2,90162,,
2817655,27769,58376,Columbia Mall,501-1,1,501-1,90162,,
2817656,27769,58376,Columbia Mall,501-1,1,501-1,90162,,
2817657,27769,58376,Columbia Mall,501-1,1,501-1,90162,,
2817658,27769,58376,Columbia Mall,501-1,1,501-1,90162,,
2817659,27769,58376,Columbia Mall,501-1,1,501-1,90162,,
2817611,27769,58374,Columbia Mall,501-3,1,501-3,90474,,
2805309,27771,58374,Seven Oaks,202-1,0,202-1,89557,,
2805310,27771,58374,Seven Oaks,202-1,0,202-1,89557,,
2805311,27771,58374,Seven Oaks,202-2,0,202-2,89557,,
2805312,27771,58374,Seven Oaks,202-2,0,202-2,89557,,
2805313,27771,58374,Seven Oaks,202-1,0,202-1,89557,,
2805314,27771,58374,Seven Oaks,202-1,0,202-1,89557,,
2805315,27771,58374,Seven Oaks,202-1,0,202-1,89557,,
2805316,27771,58374,Seven Oaks,202-3,0,202-3,89557,,
2805317,27771,58374,Seven Oaks,202-3,0,202-3,89557,,
2805318,27771,58374,Odenton MARC Station,202-1,0,202-1,89558,,
2805319,27771,58374,Odenton MARC Station,202-1,0,202-1,89558,,
2805320,27771,58374,Odenton MARC Station,202-1,0,202-1,89558,,
2805321,27771,58374,Odenton MARC Station,202-1,0,202-1,89558,,
2805322,27771,58374,Odenton MARC Station,202-2,0,202-2,89558,,
2805323,27771,58374,Odenton MARC Station,202-3,0,202-3,89558,,
2805324,27771,58374,Odenton MARC Station,202-1,0,202-1,89558,,
2805326,27771,58374,Odenton MARC Station,202-4,0,202-4,89558,,
2805328,27771,58374,Seven Oaks,202-4,0,202-4,89559,,
2805338,27771,58375,Seven Oaks,202-1,0,202-1,89559,,
2805348,27771,58376,Seven Oaks,202-1,0,202-1,89559,,
2805329,27771,58375,Odenton Health Campus,202-1,0,202-1,89560,,
2805330,27771,58375,Odenton Health Campus,202-1,0,202-1,89560,,
2805331,27771,58375,Odenton Health Campus,202-1,0,202-1,89560,,
2805332,27771,58375,Odenton Health Campus,202-1,0,202-1,89560,,
2805333,27771,58375,Odenton Health Campus,202-1,0,202-1,89560,,
2805334,27771,58375,Odenton Health Campus,202-1,0,202-1,89560,,
2805335,27771,58375,Odenton Health Campus,202-1,0,202-1,89560,,
2805336,27771,58375,Odenton Health Campus,202-1,0,202-1,89560,,
2805337,27771,58375,Odenton Health Campus,202-1,0,202-1,89560,,
2805340,27771,58376,Odenton Health Campus,202-1,0,202-1,89560,,
2805341,27771,58376,Odenton Health Campus,202-1,0,202-1,89560,,
2805342,27771,58376,Odenton Health Campus,202-1,0,202-1,89560,,
2805343,27771,58376,Odenton Health Campus,202-1,0,202-1,89560,,
2805344,27771,58376,Odenton Health Campus,202-1,0,202-1,89560,,
2805345,27771,58376,Odenton Health Campus,202-1,0,202-1,89560,,
2805346,27771,58376,Odenton Health Campus,202-1,0,202-1,89560,,
2805347,27771,58376,Odenton Health Campus,202-1,0,202-1,89560,,
2805339,27771,58375,Meade Village,202-1,0,202-1,89561,,
2805349,27771,58374,Arundel Mills,202-1,1,202-1,89562,,
2805350,27771,58374,Arundel Mills,202-1,1,202-1,89562,,
2805351,27771,58374,Arundel Mills,202-2,1,202-2,89562,,
2805352,27771,58374,Arundel Mills,202-2,1,202-2,89562,,
2805353,27771,58374,Arundel Mills,202-1,1,202-1,89562,,
2805354,27771,58374,Arundel Mills,202-1,1,202-1,89562,,
2805355,27771,58374,Arundel Mills,202-1,1,202-1,89562,,
2805356,27771,58374,Arundel Mills,202-3,1,202-3,89562,,
2805357,27771,58374,Arundel Mills,202-3,1,202-3,89562,,
2805358,27771,58374,Arundel Mills,202-1,1,202-1,89563,,
2805359,27771,58374,Arundel Mills,202-1,1,202-1,89563,,
2805360,27771,58374,Arundel Mills,202-1,1,202-1,89563,,
2805361,27771,58374,Arundel Mills,202-1,1,202-1,89563,,
2805362,27771,58374,Arundel Mills,202-2,1,202-2,89563,,
2805363,27771,58374,Arundel Mills,202-3,1,202-3,89563,,
2805364,27771,58374,Arundel Mills,202-1,1,202-1,89563,,
2805365,27771,58374,Arundel Mills,202-4,1,202-4,89563,,
2805366,27771,58375,Arundel Mills,202-1,1,202-1,89564,,
2805367,27771,58375,Arundel Mills,202-1,1,202-1,89564,,
2805368,27771,58375,Arundel Mills,202-1,1,202-1,89564,,
2805369,27771,58375,Arundel Mills,202-1,1,202-1,89564,,
2805370,27771,58375,Arundel Mills,202-1,1,202-1,89564,,
2805371,27771,58375,Arundel Mills,202-1,1,202-1,89564,,
2805372,27771,58375,Arundel Mills,202-1,1,202-1,89564,,
2805373,27771,58375,Arundel Mills,202-1,1,202-1,89564,,
2805374,27771,58375,Arundel Mills,202-1,1,202-1,89564,,
2805375,27771,58375,Arundel Mills,202-1,1,202-1,89564,,
2805377,27771,58376,Arundel Mills,202-1,1,202-1,89564,,
2805378,27771,58376,Arundel Mills,202-1,1,202-1,89564,,
2805379,27771,58376,Arundel Mills,202-1,1,202-1,89564,,
2805380,27771,58376,Arundel Mills,202-1,1,202-1,89564,,
2805381,27771,58376,Arundel Mills,202-1,1,202-1,89564,,
2805382,27771,58376,Arundel Mills,202-1,1,202-1,89564,,
2805383,27771,58376,Arundel Mills,202-1,1,202-1,89564,,
2805384,27771,58376,Arundel Mills,202-1,1,202-1,89564,,
2805385,27771,58376,Arundel Mills,202-1,1,202-1,89564,,
2805376,27771,58375,Arundel Mills,202-1,0,202-1,89565,,
2817509,27778,58374,Elkridge Shopping Center,409-3,0,409-3,90144,,
2817510,27778,58374,Elkridge Shopping Center,409-3,0,409-3,90144,,
2817511,27778,58374,Elkridge Shopping Center,409-3,0,409-3,90144,,
2817512,27778,58374,Elkridge Shopping Center,409-3,0,409-3,90144,,
2817513,27778,58374,Elkridge Shopping Center,409-2,0,409-2,90144,,
2817514,27778,58374,Elkridge Shopping Center,409-2,0,409-2,90144,,
2817515,27778,58374,Elkridge Shopping Center,409-2,0,409-2,90144,,
2817502,27778,58374,Elkridge Shopping Center,409-1,0,409-1,90145,,
2817503,27778,58374,Elkridge Shopping Center,409-2,0,409-2,90145,,
2817504,27778,58374,Elkridge Shopping Center,409-1,0,409-1,90145,,
2817505,27778,58374,Elkridge Shopping Center,409-1,0,409-1,90145,,
2817506,27778,58374,Elkridge Shopping Center,409-2,0,409-2,90145,,
2817507,27778,58374,Elkridge Shopping Center,409-2,0,409-2,90145,,
2817508,27778,58374,Elkridge Shopping Center,409-2,0,409-2,90145,,
2817530,27778,58375,Elkridge Shopping Center,409-1,0,409-1,90145,,
2817531,27778,58375,Elkridge Shopping Center,409-1,0,409-1,90145,,
2817532,27778,58375,Elkridge Shopping Center,409-1,0,409-1,90145,,
2817533,27778,58375,Elkridge Shopping Center,409-1,0,409-1,90145,,
2817534,27778,58375,Elkridge Shopping Center,409-1,0,409-1,90145,,
2817535,27778,58375,Elkridge Shopping Center,409-1,0,409-1,90145,,
2817536,27778,58375,Elkridge Shopping Center,409-1,0,409-1,90146,,
2817516,27778,58374,Towne Centre Laurel,409-1,1,409-1,90147,,
2817517,27778,58374,Towne Centre Laurel,409-1,1,409-1,90147,,
2817518,27778,58374,Towne Centre Laurel,409-1,1,409-1,90147,,
2817519,27778,58374,Towne Centre Laurel,409-2,1,409-2,90147,,
2817520,27778,58374,Towne Centre Laurel,409-2,1,409-2,90147,,
2817521,27778,58374,Towne Centre Laurel,409-2,1,409-2,90147,,
2817522,27778,58374,Towne Centre Laurel,409-2,1,409-2,90148,,
2817523,27778,58374,Towne Centre Laurel,409-2,1,409-2,90148,,
2817524,27778,58374,Towne Centre Laurel,409-2,1,409-2,90148,,
2817525,27778,58374,Towne Centre Laurel,409-2,1,409-2,90148,,
2817526,27778,58374,Towne Centre Laurel,409-3,1,409-3,90148,,
2817527,27778,58374,Towne Centre Laurel,409-3,1,409-3,90148,,
2817528,27778,58374,Towne Centre Laurel,409-3,1,409-3,90148,,
2817529,27778,58374,Towne Centre Laurel,409-3,1,409-3,90148,,
2817537,27778,58375,Towne Centre Laurel,409-1,1,409-1,90148,,
2817538,27778,58375,Towne Centre Laurel,409-1,1,409-1,90148,,
2817539,27778,58375,Towne Centre Laurel,409-1,1,409-1,90148,,
2817540,27778,58375,Towne Centre Laurel,409-1,1,409-1,90148,,
2817541,27778,58375,Towne Centre Laurel,409-1,1,409-1,90148,,
2817542,27778,58375,Towne Centre Laurel,409-1,1,409-1,90148,,
2817543,27778,58375,Towne Centre Laurel,409-1,1,409-1,90148,,
2817715,27784,58374,Towne Centre Laurel,503-3,0,503-3,90169,,
2817716,27784,58374,Towne Centre Laurel,503-3,0,503-3,90169,,
2817717,27784,58374,Towne Centre Laurel,503-3,0,503-3,90169,,
2817718,27784,58374,Towne Centre Laurel,503-3,0,503-3,90169,,
2817719,27784,58374,Towne Centre Laurel,503-3,0,503-3,90169,,
2817720,27784,58374,Towne Centre Laurel,503-1,0,503-1,90169,,
2817721,27784,58374,Towne Centre Laurel,503-2,0,503-2,90169,,
2817722,27784,58374,Towne Centre Laurel,503-1,0,503-1,90169,,
2817723,27784,58374,Towne Centre Laurel,503-1,0,503-1,90169,,
2817724,27784,58374,Towne Centre Laurel,503-1,0,503-1,90169,,
2817725,27784,58374,Towne Centre Laurel,503-1,0,503-1,90169,,
2817726,27784,58374,Towne Centre Laurel,503-2,0,503-2,90169,,
2817727,27784,58374,Towne Centre Laurel,503-2,0,503-2,90169,,
