route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
4993,MCRO,1,1-Silver Spring-Friendship Heights,Rte 1 operates Monday-Sunday,3,,808000,FFFFFF
4994,MCRO,10,10-Twinbrook Station-Hillandale,Rte 10 operates Monday-Sunday,3,,00FFFF,FFFFFF
4995,MCRO,100,100-Shady Grove-Germantown Transit,Rte 100 operates Monday-Sunday,3,,008080,FFFFFF
4996,MCRO,101,101-Lakeforest-Medical Ctr,Rte 101 operates Monday-Friday,3,,00FFFF,FFFFFF
4997,MCRO,11,11-Silver Spring-Friendship Heights,Rte11operate AM-SS-FH-PM-FH-SS,3,,DF0070,FFFFFF
4998,MCRO,12,12-Silver Spring-Takoma,Rte 12 operates Monday-Sunday,3,,FF80C0,FFFFFF
4999,MCRO,129,129-Silver Spring-Burtonsville,Rte 129 operates Monday-Friday,3,,0080FF,FFFFFF
5000,MCRO,13,13-Silver Spring-Takoma,Rte 13 operates Monday-Friday,3,,0000FF,FFFFFF
5001,MCRO,14,14-Silver Spring-Takoma,Rte14 operates Monday-Saturday,3,,0000FF,FFFFFF
5002,MCRO,15,15-Silver Spring-Langley Park,Rte 15 operates Monday-Sunday,3,,0000FF,FFFFFF
5003,MCRO,16,16-Silver Spring-Takoma,Rte 16 operates Monday-Sunday,3,,0000FF,FFFFFF
5004,MCRO,17,17-Silver Spring-Langley Park,Rte 17 operates Monday-Sunday,3,,0000FF,FFFFFF
5005,MCRO,18,18-Silver Spring -Takoma -Langley,Rte 18 operates Monday-Sunday,3,,0000FF,FFFFFF
5006,MCRO,19,19-Silver Spring-Northwood,Rte 19 operates Monday-Friday,3,,0000FF,FFFFFF
5029,MCRO,2,2-Silver Spring-Lyttonsville,Rte 2 Monday-Sunday,3,,C0DCC0,FFFFFF
5007,MCRO,20,20-Silver Spring-Hillandale,Rte 20 operates Monday-Sunday,3,,0000FF,FFFFFF
5013,MCRO,21,21-Silver Spring-Briggs Chaney P&R,Rte 21 operates Monday-Friday,3,,0000FF,FFFFFF
5021,MCRO,22,22-Silver Spring-Hillandale,Rte 22 operates Monday-Friday,3,,0000FF,FFFFFF
5022,MCRO,23,23-Friendship Hghts-Sibley Hospital,Rte 23 operates Monday-Friday,3,,0000FF,FFFFFF
5023,MCRO,24,24-Hillandale-Takoma,Rte 24 operates Monday-Friday,3,,0000FF,FFFFFF
5024,MCRO,25,25-Takoma Station-Langley Park,Rte 25 operates Monday-Friday,3,,0000FF,FFFFFF
5025,MCRO,26,26-Montgomery Mall-Glenmont,Rte 26 operates Monday-Sunday,3,,0000FF,FFFFFF
5026,MCRO,28,28-FREE-Silver Spring VanGo Shuttle,Rte 28 operates Monday-Friday,3,,0000FF,FFFFFF
5027,MCRO,29,29-Bethesda-GlenEcho-FriendshpHghts,Rte 29 operates Monday-Friday,3,,0000FF,FFFFFF
5030,MCRO,3,3-Silver Spring-Takoma,Rte 3 Monday-Friday Peak,3,,800080,FFFFFF
5031,MCRO,30,30-Bethesda-Medical Center,Rte 30 operates Monday-Friday,3,,0000FF,FFFFFF
5032,MCRO,301,Potomac-Rockville,Rte 301 operates Monday-Sunday,3,,008000,FFFFFF
5033,MCRO,31,31-Wheaton-Glenmont,Rte 31 operates Monday-Friday,3,,0000FF,FFFFFF
5034,MCRO,32,32-Bethesda-Naval Ship R&D Center,Rte 32 operates Monday-Friday,3,,0000FF,FFFFFF
5035,MCRO,33,33-Glenmont-Medical Center,Rte 33 operates Monday-Friday,3,,8A6F91,FFFFFF
5036,MCRO,34,34-Aspen Hill-Friendship Heights,Rte 34 operates Monday-Sunday,3,,0000FF,FFFFFF
5037,MCRO,36,36-Bethesda-Potomac-via Hillandale,Rte 36 operates Monday-Friday,3,,0000FF,FFFFFF
5038,MCRO,37,37-Potomac-Wheaton Metro Station,Rte 37 operates Monday-Friday,3,,1D9260,FFFFFF
5039,MCRO,38,38-Wheaton-White Flint Station,Rte 38 operates Monday-Sunday,3,,636F11,FFFFFF
5040,MCRO,39,39-Glenmont-Briggs Chaney P&R,Rte 39 operates Monday-Friday,3,,800000,FFFFFF
5041,MCRO,4,4-Silver Spring-Kensington,Rte 4 Monday-Friday,3,,00FF00,FFFFFF
5042,MCRO,41,41-Aspen Hill-Glenmont,Rte 41 operates Monday-Sunday,3,,0000FF,FFFFFF
5043,MCRO,42,42-Montgomery Mall-White Flint,Rte 42 operates Monday-Sunday,3,,A6CAF0,FFFFFF
5044,MCRO,43,43-Shady Grove-Traville Transit Ctr,Rte43 operates Monday-Saturday,3,,800080,FFFFFF
5045,MCRO,44,44-Twinbrook-Rockville,Rte 44 operates Monday-Friday,3,,0000FF,FFFFFF
5046,MCRO,45,45-RockvRegional/RockvSenior/Twinb,Rte45 operates Monday-Saturday,3,,800040,FFFFFF
5047,MCRO,46,46-Mont.College-Rockv-Medical Ctr,Rte 46 operates Monday-Sunday,3,,AE92E4,FFFFFF
5048,MCRO,47,47-Rockville-Mont. Mall-Bethesda,Rte 47 operates Monday-Sunday,3,,008080,FFFFFF
