route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
4993,1,845011,Silver Spring,,0,140524,20612,0,0
4993,1,845010,Silver Spring,,0,140601,20612,0,0
4993,1,845009,Silver Spring,,0,140524,20612,0,0
4993,1,845008,Silver Spring,,0,140537,20616,0,0
4993,1,845007,Silver Spring,,0,140520,20612,0,0
4993,1,845006,Silver Spring,,0,141176,20616,0,0
4993,1,845005,Silver Spring,,0,140575,20616,0,0
4993,1,845004,Silver Spring,,0,140537,20614,0,0
4993,1,845003,Silver Spring  Leland,,0,141024,20618,0,0
4993,1,845002,Silver Spring,,0,140521,20614,0,0
4993,1,845001,Silver Spring  Leland,,0,141054,20618,0,0
4993,1,845000,Silver Spring,,0,140520,20614,0,0
4993,1,844999,Silver Spring  Leland,,0,140606,20618,0,0
4993,1,844998,Silver Spring,,0,140551,20614,0,0
4993,1,844997,Silver Spring  Leland,,0,141079,20618,0,0
4993,1,844996,Silver Spring,,0,140566,20614,0,0
4993,1,844995,Silver Spring  Leland,,0,140600,20618,0,0
4993,1,844994,Silver Spring,,0,141583,20614,0,0
4993,1,844993,Silver Spring  Leland,,0,141498,20618,0,0
4993,1,844992,Silver Spring,,0,141105,20614,0,0
4993,1,844991,Silver Spring  Leland,,0,140553,20618,0,0
4993,1,844990,Silver Spring,,0,141595,20614,0,0
4993,1,844989,Silver Spring  Leland,,0,141126,20618,0,0
4993,1,844988,Silver Spring,,0,141142,20614,0,0
4993,1,844987,Silver Spring  Leland,,0,141185,20618,0,0
4993,1,844973,Silver Spring,,0,141556,20614,0,0
4993,1,844986,Silver Spring  Leland,,0,141150,20618,0,0
4993,1,844985,Silver Spring,,0,141599,20614,0,0
4993,1,844984,Silver Spring  Leland,,0,141488,20618,0,0
4993,1,844972,Silver Spring,,0,141142,20614,0,0
4993,1,844983,Silver Spring  Leland,,0,141603,20618,0,0
4993,1,844982,Silver Spring,,0,141121,20614,0,0
4993,1,844981,Silver Spring  Leland,,0,141603,20618,0,0
4993,1,844980,Silver Spring,,0,141091,20614,0,0
4993,1,844979,Silver Spring,,0,141187,20614,0,0
4993,1,844978,Silver Spring,,0,141106,20614,0,0
4993,1,844977,Silver Spring,,0,141099,20614,0,0
4993,1,844976,Silver Spring,,0,141184,20614,0,0
4993,1,844975,Silver Spring,,0,141036,20614,0,0
4993,1,844974,Silver Spring,,0,141184,20614,0,0
4993,1,845051,Friendship Heights,,1,140601,20622,0,0
4993,1,845050,Friendship Heights,,1,140987,20622,0,0
4993,1,845049,Friendship Heights,,1,141051,20622,0,0
4993,1,845048,Friendship Heights,,1,140531,20622,0,0
4993,1,845047,Friendship Heights Leland,,1,140985,20624,0,0
4993,1,845046,Friendship Heights,,1,141023,20622,0,0
4993,1,845045,Friendship Heights Leland,,1,141063,20624,0,0
4993,1,845044,Friendship Heights,,1,141058,20622,0,0
4993,1,845043,Friendship Heights Leland,,1,141024,20624,0,0
4993,1,845042,Friendship Heights,,1,141075,20622,0,0
4993,1,845041,Friendship Heights Leland,,1,141054,20624,0,0
4993,1,845040,Friendship Heights,,1,140520,20622,0,0
4993,1,845039,Friendship Heights Leland,,1,141063,20624,0,0
4993,1,845038,Friendship Heights,,1,140521,20622,0,0
4993,1,845037,Friendship Heights Leland,,1,140606,20624,0,0
4993,1,845036,Friendship Heights,,1,140551,20622,0,0
4993,1,845035,Friendship Heights Leland,,1,140601,20624,0,0
4993,1,845034,Friendship Heights,,1,141044,20622,0,0
4993,1,845033,Friendship Heights Leland,,1,140600,20624,0,0
4993,1,845032,Friendship Heights,,1,141583,20622,0,0
4993,1,845031,Friendship Heights Leland,,1,141003,20624,0,0
4993,1,845030,Friendship Heights,,1,141121,20622,0,0
