service_id,date,exception_type
6,20190527,1
1,20190527,2
7301,20190528,1
7301,20190529,1
7301,20190530,1
7310,20190531,1
7301,20190603,1
7301,20190604,1
7301,20190605,1
7301,20190606,1
7310,20190607,1
7301,20190610,1
7301,20190611,1
7301,20190612,1
7301,20190613,1
7310,20190614,1
7301,20190617,1
7301,20190618,1
7301,20190619,1
7301,20190620,1
7310,20190621,1
7301,20190624,1
7301,20190625,1
7301,20190626,1
7301,20190627,1
7310,20190628,1
7301,20190701,1
7301,20190702,1
7301,20190703,1
6,20190704,1
1,20190704,2
7310,20190705,1
7301,20190708,1
7301,20190709,1
7301,20190710,1
7301,20190711,1
7310,20190712,1
7301,20190715,1
7301,20190716,1
7301,20190717,1
7301,20190718,1
7310,20190719,1
7301,20190722,1
7301,20190723,1
7301,20190724,1
7301,20190725,1
7310,20190726,1
7301,20190729,1
7301,20190730,1
7301,20190731,1
7301,20190801,1
7310,20190802,1
7301,20190805,1
7301,20190806,1
7301,20190807,1
7301,20190808,1
7310,20190809,1
7301,20190812,1
7301,20190813,1
7301,20190814,1
7301,20190815,1
7310,20190816,1
7301,20190819,1
7301,20190820,1
7301,20190821,1
7301,20190822,1
7310,20190823,1
7301,20190826,1
7301,20190827,1
7301,20190828,1
7301,20190829,1
7310,20190830,1
6,20190902,1
1,20190902,2
7201,20190903,1
7201,20190904,1
7201,20190905,1
7210,20190906,1
