stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
4,CHINN,Chinn Park Dr @ Chinn Center Departures,13025 Chinn Park Dr,38.670657,-77.332072,,,,,,0
5,DUFERLAZ,Ferlazzo Building,15941 DONALD CURTIS DR,38.608262,-77.295263,,,,,,0
7,DUQUANT,Broadway St @ Potomac Ave Departures,,38.52193,-77.290836,,,,,,0
34,MNOVA,NOVA Campus in Manassas Departures,6901 SUDLEY RD,38.80907,-77.517992,,,,,,0
41,WOBSmo-B,Old Bridge Rd @ Smoketown Rd,,38.68096,-77.320401,,,,,,0
44,WHilln-A,Prince William Pkwy @ Hillendale Dr,,38.668252,-77.333747,,,,,,0
114,DUDumfNB,Route 1 @ Dumfries Rd,Jefferson Davis Hwy & Dumfries Rd,38.573828,-77.315641,,,,,,0
115,DUPsmPt,Route 1 @ Possum Point Rd,Jefferson Davis Hwy & Possum Point Rd,38.569675,-77.320447,,,,,,0
118,DUWlmtn,Williamstown Dr @ Fraley Blvd,,38.56533,-77.325046,,,,,,0
120,DUAndrsn,Route 1 @ Anderson Rd,Jefferson Davis Hwy & Anderson Rd,38.548894,-77.334841,,,,,,0
122,DUWdmark,Powells Creek Blvd @ Woodmark Dr,,38.593485,-77.299516,,,,,,0
149,MByrd,Grant Ave @ Byrd Dr,,38.74511,-77.473819,,,,,,0
162,MAshSd-S,Ashton Ave @ Sudley Manor Dr,,38.784872,-77.520592,,,,,,0
164,MRsmry-S,Ashton Ave @ Rosemary Dr,,38.790963,-77.522886,,,,,,0
165,MAsCov-S,Ashton Ave @ Coverstone Dr,,38.791807,-77.525082,,,,,,0
168,MMiramar,Miramar Dr @ Coverstone Dr,,38.795322,-77.519884,,,,,,0
170,MNVBat-S,Nova Way @ Battleview Pkwy,,38.80611,-77.518722,,,,,,0
172,MEastChu,Church St @ East St,,38.751988,-77.470811,,,,,,0
173,MWestChu,Church St @ West St,,38.751683,-77.473387,,,,,,0
207,WOccEl-B,Occoquan Rd @ Devils Reach Rd,,38.67158,-77.260249,,,,,,0
212,MEastCnt,Center St @ East St,,38.751245,-77.470139,,,,,,0
220,MPMSVA-B,Manassas Dr @ Signal View Dr,,38.757913,-77.436592,,,,,,0
223,MStonewa,Sudley Rd @ Stonewall Rd,,38.764665,-77.480991,,,,,,0
224,MDiggs-N,Sudley Rd @ Digges Rd,,38.768053,-77.485282,,,,,,0
227,MBlend-S,Ashton Ave @ Blendia Ln,,38.780267,-77.516512,,,,,,0
228,MSeym-S,Ashton Ave @ Seymour Dr,,38.787482,-77.521006,,,,,,0
230,MPLibE-A,Liberia Ave @ Euclid Ave,,38.75954,-77.455982,,,,,,0
231,MPQuarry,Liberia Ave @ Quarry Rd,,38.755233,-77.451126,,,,,,0
232,MZbdQury,Zebedee St @ Quarry Rd,,38.752668,-77.468476,,,,,,0
233,MMaple,Centreville Rd @ Maple St,,38.753578,-77.468082,,,,,,0
237,MPLiMJ-B,Liberia Ave @ Manassas Junction,Liberia Ave & Centreville Rd,38.760748,-77.457778,,,,,,0
244,MPPtrn-B,Portsmouth Rd @ Portwood Turn,,38.780253,-77.502341,,,,,,0
245,MForstwo,Sudley Service Rd @ Forestwood Ln,,38.764797,-77.480426,,,,,,0
246,MPLibE-B,Liberia Ave @ Euclid Ave,,38.75895,-77.454529,,,,,,0
248,MBartw,Grant Ave @ Bartow St,,38.744955,-77.473476,,,,,,0
249,MBlend-N,Ashton Ave @ Blendia Ln,,38.780447,-77.516146,,,,,,0
250,MSeym-N,Ashton Ave @ Seymour Dr,,38.7881,-77.520147,,,,,,0
251,MCvAsh-N,Coverstone Dr @ Ashton Ave,,38.792447,-77.524664,,,,,,0
253,MChurCnt,Church St @ Center St,,38.751078,-77.478297,,,,,,0
262,GidBixb,Gideon Dr @ Bixby Rd,,38.636293,-77.299569,,,,,,0
263,DCGERRY,Dale Blvd @ Gerry Ln,,38.647428,-77.338929,,,,,,0
265,DCLauHil,Prince William Pkwy @ Laurel Hills Dr,,38.674611,-77.340349,,,,,,0
272,WVillage,Route 1 @ Village Dr,Jefferson Davis Hwy & Village Dr,38.641902,-77.265987,,,,,,0
280,WBelAir,Route 1 @ Bel Air Rd,Jefferson Davis Hwy & Bel Air Rd,38.641855,-77.266381,,,,,,0
282,DUFireDp,Route 1 @ Bradys Hill Rd,Jefferson Davis Hwy & Bradys Hill Rd,38.55311,-77.332846,,,,,,0
283,DUWaysid,Route 1 @ Wayside Dr,Jefferson Davis Hwy & Wayside Dr,38.579093,-77.311811,,,,,,0
284,DUCheryH,Route 1 @ River Heritage Blvd,Jefferson Davis Hwy & River Heritage Blvd,38.584503,-77.308399,,,,,,0
286,DUMcGuff,Powells Creek Blvd @ McGuffys Trl,,38.586268,-77.296072,,,,,,0
287,DUMirand,Powells Creek Blvd @ Miranda Ln,,38.58694,-77.293717,,,,,,0
288,DUSinger,Powells Creek Blvd @ Singer Way,,38.589547,-77.294437,,,,,,0
289,DUNantic,Powells Creek Blvd @ Nanticoke Way,,38.590783,-77.296161,,,,,,0
290,DUDeting,Powells Creek Blvd @ Dettingen Pl,,38.592142,-77.297729,,,,,,0
292,DUFern,Powells Creek Blvd @ Fern Pl,Powells Creek Blvd & Fern Patrick Henry Dr,38.591568,-77.297317,,,,,,0
293,DUCapSIN,Powells Creek Blvd @ Capon Tree Ln,,38.589112,-77.294049,,,,,,0
294,DUCapMIR,Powells Creek Blvd @ Capon Tree Ln,,38.586983,-77.293986,,,,,,0
295,DUPowRvr,Powells Creek Blvd @ River Ridge Blvd,,38.586147,-77.297029,,,,,,0
297,DULibvil,N Main St @ Graham St,,38.570165,-77.320324,,,,,,0
298,DUACTS,S Main St @ Lansing Ct,,38.563732,-77.330096,,,,,,0
305,DCMcC-IB,Prince William Pkwy @ McCoart Building,Prince William Pkwy & County Complex Ct,38.678632,-77.350904,,,,,,0
306,DCHoReIB,Hoadly Rd @ Reserve Ln,,38.674792,-77.382624,,,,,,0
308,DCPrincd,Dale Blvd @ Princedale Dr,,38.664092,-77.378536,,,,,,0
309,DCNassIB,Dale Blvd @ Nassau Dr,,38.66085,-77.373601,,,,,,0
311,DCLindIB,Dale Blvd @ Lindendale Rd,,38.659474,-77.358705,,,,,,0
313,DCKerry,Dale Blvd @ Kerrydale Rd,,38.658145,-77.343966,,,,,,0
316,DCMIN-IB,Dale Blvd @ Minnieville Rd,,38.646775,-77.338336,,,,,,0
318,DCEastIB,Darbydale Ave @ Eastlawn Ave,,38.634218,-77.342114,,,,,,0
320,DCDan-IB,Darbydale Ave @ Danville Rd,,38.633275,-77.329384,,,,,,0
322,DCCheryd,Dale Blvd @ Cherrydale Dr,,38.631365,-77.317922,,,,,,0
323,DCBir-IB,Dale Blvd @ Birchdale Ave,,38.628712,-77.310944,,,,,,0
325,GidTwn,Gideon Dr @ Town Center Rd,,38.636023,-77.299401,,,,,,0
326,DCAsh-OB,Dale Blvd @ Ashdale Ave,,38.62785,-77.304804,,,,,,0
327,DCBir-OB,Dale Blvd @ Birchdale Ave,,38.628907,-77.310074,,,,,,0
328,DCBarksd,Dale Blvd @ Barksdale St,,38.631092,-77.317159,,,,,,0
330,DCDan-OB,Darbydale Ave @ Danville Rd,,38.633582,-77.328611,,,,,,0
332,DCHillen,Dale Blvd @ Hillendale Dr,,38.65595,-77.341882,,,,,,0
333,DCKings,Dale Blvd @ Kingsman Rd,,38.658677,-77.344351,,,,,,0
336,DCNassOB,Dale Blvd @ Nassau Dr,,38.661057,-77.373282,,,,,,0
337,DCNott,Dale Blvd @ Nottingdale Dr,,38.664475,-77.378422,,,,,,0
338,DCTriden,Dale Blvd @ Trident Ln,,38.667763,-77.387412,,,,,,0
339,DCWebstr,Hoadly Rd @ Websters Way,,38.6743,-77.383759,,,,,,0
340,DCMcC-OB,Prince William Pkwy @ Marblestone Dr,,38.678293,-77.351497,,,,,,0
342,DCOrangw,Dale Blvd @ Orangewood Dr,,38.667097,-77.386629,,,,,,0
343,DCEastOB,Darbydale Ave @ Eastlawn Ave,,38.635473,-77.342837,,,,,,0
344,DCQuate,Dale Blvd @ Quate Ln,,38.659732,-77.360187,,,,,,0
345,DCRidgfl,Hoadly Rd @ Ridgefield Village Dr,,38.677653,-77.364369,,,,,,0
350,WHornr-A,Occoquan Rd @ Horner Rd,,38.663293,-77.253304,,,,,,0
351,WHyltn-A,Occoquan Rd @ Vineyard Way,,38.667037,-77.257581,,,,,,0
352,WWdHollw,Old Bridge Rd @ Wood Hollow Dr,,38.675938,-77.267391,,,,,,0
353,WClipp-A,Old Bridge Rd @ Clipper Dr,,38.678457,-77.274157,,,,,,0
354,WOakwd-A,Old Bridge Rd @ Oakwood Dr,,38.682505,-77.293977,,,,,,0
356,WDilln-A,Old Bridge Rd @ Dillingham Sq,,38.683342,-77.316901,,,,,,0
357,WOBSmo-A,Old Bridge Rd @ Smoketown Rd,,38.680697,-77.322251,,,,,,0
358,WWestr,Old Bridge Rd @ Westridge Dr,,38.677442,-77.327854,,,,,,0
361,WHilln-B,Prince William Pkwy @ Hillendale Dr,,38.666818,-77.332336,,,,,,0
362,WTitania,Old Bridge Rd @ Titania Way,,38.674633,-77.331016,,,,,,0
363,WOBridLn,Old Bridge Rd @ Old Bridge Ln,,38.676213,-77.328954,,,,,,0
364,WCrick-B,Old Bridge Rd @ Cricket Ln,,38.682484,-77.317353,,,,,,0
365,WOakwd-B,Old Bridge Rd @ Oakwood Dr,,38.682155,-77.293962,,,,,,0
366,WClipp-B,Old Bridge Rd @ Clipper Dr,,38.678212,-77.273867,,,,,,0
367,WHyltn-B,Occoquan Rd @ Hylton Ave,,38.666948,-77.257679,,,,,,0
372,OMNITC,OMNIRIDE Transit Center Departures,14700 Potomac Mills Rd,38.63012,-77.294969,,,,,,0
375,DUSHOPCT,Fraley Blvd @ Dumfries Shopping Ctr,Fraley Blvd & Dumfries Shopping Plaza,38.562965,-77.327816,,,,,,0
377,DUDumfSB,Route 1 @ Dumfries Rd,Jefferson Davis Hwy & Dumfries Rd,38.57445,-77.315417,,,,,,0
378,DUWash,N Main St @ Washington St,,38.567948,-77.325539,,,,,,0
379,CURTIS,S Main St @ Curtis Dr,,38.56098,-77.331749,,,,,,0
380,WJDLng-B,Route 1 @ Prince William Pkwy,Jefferson Davis Hwy & Prince William Pkwy,38.64916,-77.261627,,,,,,0
382,WJefGorA,Route 1 @ Gordon Blvd,Jeff Davis Hy (NB) @ Gordon Blvd,38.659275,-77.248516,,,,,,0
384,WHoffmn,Prince William Pkwy @ Hoffman Dr,,38.665222,-77.330539,,,,,,0
385,WMNMobil,Minnieville Rd @ Prince William Pkwy,,38.652992,-77.314279,,,,,,0
389,WPenn,Prince William Pkwy @ Pennington Ln,,38.664442,-77.328662,,,,,,0
390,WOccF,Occoquan Rd @ F St,,38.66364,-77.254102,,,,,,0
394,W22Opitz,2200 Opitz Blvd,,38.632965,-77.279431,,,,,,0
395,DCAsdee,Prince William Pkwy @ Greatbridge Rd,,38.677665,-77.347506,,,,,,0
396,DCRidge,Prince William Pkwy @ Ridgefield Rd,,38.677767,-77.348739,,,,,,0
399,MCOVR-S,Coverstone Dr @ Purdue Ct,,38.793345,-77.521912,,,,,,0
400,MNSHPBA,Manassas Shopping Ctr @ Bowl America Departures,9000 Mathis Ave,38.759882,-77.465246,,,,,,0
402,MCtrCHSt,Center St @ Church St,,38.75044,-77.478186,,,,,,0
403,MCrstAsh,Crestwood Dr @ Ashton Ave,,38.778518,-77.515256,,,,,,0
404,MSage,Coverstone Dr @ Sage Ct,,38.793917,-77.519771,,,,,,0
406,DUDCurt,Cardinal Dr @ Donald Curtis Dr,,38.609615,-77.294254,,,,,,0
407,DUNeaCol,Neabsco Mills Rd @ N College Dr,,38.62216,-77.291312,,,,,,0
408,DCQCh-IB,Hoadly Rd @ Queen Chapel Rd,,38.676248,-77.368887,,,,,,0
410,DCKirkIB,Dale Blvd @ Kirkdale Dr,,38.660127,-77.347671,,,,,,0
411,DCDixon,Darbydale Ave @ Dixon Ct,,38.632945,-77.335579,,,,,,0
412,DCBenFit,Dale Blvd @ Benita Fitzgerald Dr,,38.62924,-77.313952,,,,,,0
413,DCEmpire,Darbydale Ave @ Empire St,,38.633038,-77.336704,,,,,,0
414,DCKirkOB,Dale Blvd @ Kirkdale Dr,,38.660292,-77.347066,,,,,,0
415,DCQUEEN,Dale Blvd @ Queensdale Dr,,38.65959,-77.367824,,,,,,0
416,DCTrentd,Dale Blvd @ Trentdale Dr,,38.66927,-77.391117,,,,,,0
417,DCQCh-OB,Hoadly Rd @ Queen Chapel Rd,,38.675935,-77.368924,,,,,,0
418,WPHosp,Opitz Blvd @ Potomac Centre Blvd,,38.634657,-77.284474,,,,,,0
419,WPotLib,Opitz Blvd @ Potomac Library,2201 Opitz Blvd,38.632955,-77.280438,,,,,,0
420,DUFul-IB,Fuller Rd @ Fuller Heights Rd,,38.545397,-77.335176,,,,,,0
