from_stop_id,to_stop_id,transfer_type,min_transfer_time
1929,1928,,
407,1693,,
1215,1216,,
1657,120,,
1876,1758,,
1966,610,,
1693,407,,
118,1694,,
439,438,,
610,613,,
418,476,,
1424,1520,,
1668,1665,,
309,336,,
1213,1214,,
1756,1760,,
1913,1892,,
1760,1756,,
1896,1897,,
340,305,,
608,462,,
1536,1555,,
1921,1922,,
2073,1404,,
916,922,,
1641,1879,,
608,465,,
4,1875,,
1846,1840,,
1520,1424,,
120,1657,,
1897,1896,,
305,340,,
1877,34,,
34,1877,,
1515,1430,,
608,614,,
937,902,,
224,1551,,
1214,1213,,
1892,1913,,
1870,1526,,
1234,1964,,
1665,1668,,
336,309,,
1400,1509,,
1619,382,,
1880,7,,
465,608,,
1526,1870,,
1922,1921,,
1742,1747,,
465,462,,
1826,1871,,
1875,1976,,
1509,1400,,
1208,1209,,
476,418,,
465,614,,
382,1619,,
1982,1613,,
922,916,,
1555,1536,,
1579,237,,
1967,613,,
1432,1969,,
1875,4,,
1694,118,,
1404,2073,,
614,608,,
1976,1875,,
1871,1826,,
237,1579,,
614,465,,
1305,1301,,
462,608,,
1928,1929,,
7,1880,,
1879,1641,,
462,465,,
1209,1208,,
1747,1742,,
1969,1432,,
372,1871,,
1758,1876,,
1964,1234,,
1301,1305,,
610,1966,,
1840,1846,,
1551,224,,
613,610,,
438,439,,
1871,372,,
