route_id,agency_id,route_short_name,route_long_name,route_type,route_color,route_text_color,route_url
"41",1,"41","Columbia Pike-Ballston-Court House",3,,,"http://www.arlingtontransit.com/pages/routes/art-41/"
"42",1,"42","Ballston-Pentagon",3,,,"http://www.arlingtontransit.com/pages/routes/art-42/"
"43",1,"43","Crystal City-Courthouse",3,,,"http://www.arlingtontransit.com/pages/routes/art-43/"
"45",1,"45","Columbia Pike-DHS/Sequoia-Rosslyn",3,,,"http://www.arlingtontransit.com/pages/routes/art-45/"
"51",1,"51","Ballston-Virginia Hospital Center",3,,,"http://www.arlingtontransit.com/pages/routes/art-51/"
"52",1,"52","Ballston-Virginia Hospital-East Falls Church",3,,,"http://www.arlingtontransit.com/pages/routes/art-52/"
"53A",1,"53A","Ballston Metro-Old Glebe-East Falls Church Metro",3,,,"http://www.arlingtontransit.com/pages/routes/art-53A/"
"53B",1,"53B","Ballston Metro-Old Glebe-East Falls Church Metro",3,,,"http://www.arlingtontransit.com/pages/routes/art-53B/"
"55",1,"55","East Falls Church-Rosslyn",3,,,"http://www.arlingtontransit.com/pages/routes/art-55/"
"61A",1,"61A","Rosslyn-Court House Metro Shuttle",3,,,"http://www.arlingtontransit.com/pages/routes/art-61A/"
"61B",1,"61B","Rosslyn-Court House Metro Shuttle",3,,,"http://www.arlingtontransit.com/pages/routes/art-61B/"
"62",1,"62","Ballston Metro-Lorcom Lane-Court House Metro",3,,,"http://www.arlingtontransit.com/pages/routes/art-62/"
"72",1,"72","Shirlington-Ballston-Rock Spring",3,,,"http://www.arlingtontransit.com/pages/routes/art-72/"
"74",1,"74","Columbia Pike-Arlington Village/View-Pentagon City",3,,,"http://www.arlingtontransit.com/pages/routes/art-74/"
"75",1,"75","Shirlington-Ballston-VA Square",3,,,"http://www.arlingtontransit.com/pages/routes/art-75/"
"77",1,"77","Court House-Lyon Park-Shirlington",3,,,"http://www.arlingtontransit.com/pages/routes/art-77/"
"84",1,"84","Douglas Park-Nauck-Pentagon City",3,,,"http://www.arlingtontransit.com/pages/routes/art-84/"
"87",1,"87","Pentagon City Metro-Army Navy Drive-Shirlington",3,,,"http://www.arlingtontransit.com/pages/routes/art-87/"
"87A",1,"87A","Pentagon Metro-Army Navy Drive",3,,,"http://www.arlingtontransit.com/pages/routes/art-87A/"
"87P",1,"87P","Pentagon Metro-Army Navy Drive-S Lang Street",3,,,"http://www.arlingtontransit.com/pages/routes/art-87P/"
"87X",1,"87X","Pentagon Metro-Army Navy Drive-Shirlington",3,,,"http://www.arlingtontransit.com/pages/routes/art-87X/"
