route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
"41",3,1,"Columbia Pike & Dinwiddie",0,4115,14
"41",4,2,"Columbia Pike & Dinwiddie",0,4133,132
"41",5,3,"Court House Metro",1,4143,15
"42",3,4,"Ballston Metro",1,4211,40
"42",5,5,"Ballston Metro",1,4251,123
"43",1,6,"Court House Metro Express",1,4312,58
"43",2,7,"Court House Metro Express",1,4310,13
"45",4,8,"Rosslyn Metro",1,4532,129
"55",3,9,"East Falls Church Metro",1,5510,124
"55",4,10,"East Falls Church Metro",1,5530,124
"72",3,11,"Shirlington Station",0,7211,75
"84",3,12,"Douglas Park",0,8402,88
"84",3,13,"Douglas Park",0,8401,88
"84",3,14,"Douglas Park",0,8402,88
"84",3,15,"Pentagon City Metro",0,8401,92
"84",3,16,"Pentagon City Metro",0,8402,92
"87A",3,17,"Pentagon Metro",0,8701,108
"87A",3,18,"Pentagon Metro",0,8702,108
"87X",3,19,"Shirlington Station",0,8701,234
"87A",3,20,"Pentagon Metro",0,8703,108
"87X",3,21,"Shirlington Station",0,8702,234
"87A",3,22,"Pentagon Metro",0,8704,108
"87X",3,23,"Shirlington Station",0,8701,234
"87A",3,24,"Pentagon Metro",0,8703,108
"87X",3,25,"Shirlington Station",0,8704,234
"87A",3,26,"Pentagon Metro",0,8702,108
"87X",3,27,"Shirlington Station",0,8703,234
"87A",3,28,"Pentagon Metro",0,8701,108
"87X",3,29,"Shirlington Station",0,8702,234
"87",3,30,"Shirlington Station",0,8704,98
"87",3,31,"Shirlington Station",0,8703,98
"87",3,32,"Shirlington Station",0,8702,98
"87",3,33,"Shirlington Station",0,8703,98
"87",3,34,"Shirlington Station",0,8702,98
"87",3,35,"Shirlington Station",0,8703,98
"87",3,36,"Shirlington Station",0,8702,98
"87",3,37,"Shirlington Station",0,8703,98
"87",3,38,"Shirlington Station",0,8702,98
"87",3,39,"Shirlington Station",0,8703,98
"87",3,40,"Shirlington Station",0,8702,98
"87",3,41,"Shirlington Station",0,8703,98
"87",3,42,"Shirlington Station",0,8702,98
"87",3,43,"Shirlington Station",0,8710,98
"87",3,44,"Shirlington Station",0,8711,98
"87",3,45,"Shirlington Station",0,8712,98
"87P",3,46,"S Lang Street",0,8710,86
"87",3,47,"Shirlington Station",0,8713,98
"87P",3,48,"S Lang Street",0,8714,86
"87",3,49,"Shirlington Station",0,8711,98
"87P",3,50,"S Lang Street",0,8710,86
"87",3,51,"Shirlington Station",0,8712,98
"87P",3,52,"S Lang Street",0,8714,86
"87",3,53,"Shirlington Station",0,8713,98
"87P",3,54,"S Lang Street",0,8710,86
"87",3,55,"Shirlington Station",0,8711,98
"87P",3,56,"S Lang Street",0,8714,86
"87",3,57,"Shirlington Station",0,8712,98
"87P",3,58,"S Lang Street",0,8710,86
"87",3,59,"Shirlington Station",0,8713,98
"87P",3,60,"S Lang Street",0,8714,86
"87",3,61,"Shirlington Station",0,8711,98
"87P",3,62,"S Lang Street",0,8710,86
"87",3,63,"Shirlington Station",0,8712,98
"87P",3,64,"S Lang Street",0,8714,86
"87",3,65,"Shirlington Station",0,8713,98
"87",3,66,"Shirlington Station",0,8711,98
"87",3,67,"Shirlington Station",0,8712,98
"55",3,68,"East Falls Church Metro",1,5513,124
